hub,keyword,priority_score
btw,btw nummer aanvragen,2
btw,btw nummer controleren,2
btw,btw nummer opzoeken,2
btw,btw vies check,2
btw,btw wanneer,2
btw,btw,2
btw,btw auto,2
btw,btw belgie,2
btw,btw betekenis,2
btw,btw check,2
