hub,keyword,priority_score
factoring,btw factuur,2
factoring,abn factuur verkopen,1
factoring,auto verkopen factuur maken,1
factoring,auto verkopen factuur voorbeeld,1
factoring,blue water factoring,1
factoring,blue water factoring company,1
factoring,btw factuur aliexpress,1
