hub,keyword,priority_score
other,bmw x1,2
other,bmw x2,2
other,bmw x3,2
other,bmw x4,2
other,bmw x5,2
other,bmw x6,2
other,bmw x7,2
other,zakelijke lening,2
other,beobank kredietlijn verhogen,1
other,bkr inlog zakelijk,1
